"theta","se","time","method","n","truth"
39.2685910479659,1.2224213779988,0.341999999999999,"iid",400,38.38912
36.2150658589581,2.11527784458154,0.246000000000002,"emm",400,38.38912
38.697562324021,1.28249977189565,0.347999999999999,"iid",400,38.38912
37.9206002060733,3.38065683322026,0.243000000000002,"emm",400,38.38912
37.5490013622086,1.13945333334238,0.341999999999999,"iid",400,38.38912
38.5359044959561,1.71799438031096,0.241,"emm",400,38.38912
38.7416137985953,1.12514847288844,0.338000000000001,"iid",400,38.38912
43.0062717805364,2.29007956310877,0.242000000000004,"emm",400,38.38912
39.443930533154,1.11764909192387,0.335000000000001,"iid",400,38.38912
42.6652242806116,2.68007514564889,0.25,"emm",400,38.38912
37.4639134705449,1.09453065204573,0.345999999999997,"iid",400,38.38912
35.1792639444307,2.69304183405761,0.248000000000005,"emm",400,38.38912
38.3456481961699,1.27645513584891,0.344999999999999,"iid",400,38.38912
38.4842974961557,1.28107187617849,0.247999999999998,"emm",400,38.38912
39.3566088912212,1.14296488166084,0.346000000000004,"iid",400,38.38912
39.240238802581,2.23731723340558,0.244999999999997,"emm",400,38.38912
38.7714958676785,1.24953996782845,0.343000000000004,"iid",400,38.38912
38.7066044064618,1.16330201470915,0.249000000000002,"emm",400,38.38912
36.7048335280151,1.43958347726134,0.344000000000001,"iid",400,38.38912
34.4037683957344,3.34235857632043,0.249000000000002,"emm",400,38.38912
38.4761029757463,1.07477290744152,0.338000000000001,"iid",400,38.38912
41.7060923327027,1.57444345073179,0.241,"emm",400,38.38912
40.1962080723024,1.07261586756629,0.345999999999997,"iid",400,38.38912
42.1700897704895,3.34312865744321,0.244,"emm",400,38.38912
36.5879856849059,0.998846563537722,0.363999999999997,"iid",400,38.38912
36.8027293570274,1.31454506370463,0.238999999999997,"emm",400,38.38912
38.8032597767755,1.13929524159274,0.341999999999999,"iid",400,38.38912
41.798389359726,3.38515952660384,0.247999999999998,"emm",400,38.38912
38.1933062405716,1.10393370174235,0.343000000000004,"iid",400,38.38912
41.0356757444663,1.58407957822861,0.241999999999997,"emm",400,38.38912
40.1471916426132,1.05022675501073,0.341000000000001,"iid",400,38.38912
42.2474713262433,1.85162689098671,0.238999999999997,"emm",400,38.38912
38.638420894997,1.04804789517042,0.344999999999999,"iid",400,38.38912
38.6584348576427,1.98265607187158,0.243000000000009,"emm",400,38.38912
39.511488765877,1.11861473281183,0.347999999999999,"iid",400,38.38912
34.3211701572056,2.77385459141245,0.248999999999995,"emm",400,38.38912
38.3396632161704,1.14680434768239,0.350000000000009,"iid",400,38.38912
36.9952986809912,2.36526844863415,0.248999999999995,"emm",400,38.38912
36.8781090537249,1.78298699009745,0.349999999999994,"iid",400,38.38912
37.0700432823673,2.5621131353508,0.25,"emm",400,38.38912
36.6824574043531,1.04698651408193,0.350999999999999,"iid",400,38.38912
38.6739339268242,3.37939794320131,0.247,"emm",400,38.38912
37.2454191690787,1.12119855772659,0.349999999999994,"iid",400,38.38912
37.9960616999604,1.78390352243519,0.260000000000005,"emm",400,38.38912
40.9224702663166,1.14019360816144,0.346999999999994,"iid",400,38.38912
38.2662710453175,2.36878089529865,0.233000000000004,"emm",400,38.38912
37.6846076304351,1.25361522516923,0.379000000000005,"iid",400,38.38912
40.8218752400871,1.71068377098148,0.260999999999996,"emm",400,38.38912
37.7425860384241,1.05455160336902,0.367000000000004,"iid",400,38.38912
37.2622784089647,1.64834393039894,0.254000000000005,"emm",400,38.38912
36.3248155999254,2.34817255546249,0.378,"iid",400,38.38912
35.7514862649691,1.71023638130109,0.265000000000001,"emm",400,38.38912
37.2613555019044,1.01417762466526,0.359999999999999,"iid",400,38.38912
36.3619706740558,1.53594643569086,0.253,"emm",400,38.38912
39.8270792839092,1.1763120202328,0.359999999999999,"iid",400,38.38912
35.1057913529256,3.04239677163403,0.26400000000001,"emm",400,38.38912
37.9862388503508,1.16209327575924,0.355000000000004,"iid",400,38.38912
34.4388509405219,3.05701228485812,0.251000000000005,"emm",400,38.38912
37.7828948949847,1.16490989524623,0.363000000000014,"iid",400,38.38912
35.6047024900004,5.52194549151725,0.254000000000005,"emm",400,38.38912
37.1033188789777,1.40380039601193,0.368000000000009,"iid",400,38.38912
31.8737738442999,4.36296793529981,0.253,"emm",400,38.38912
37.9641871055441,1.27901975919464,0.35799999999999,"iid",400,38.38912
32.9076176520283,3.12428701189224,0.257000000000005,"emm",400,38.38912
37.1279344486701,1.51123079563759,0.36099999999999,"iid",400,38.38912
32.724807989699,3.34904739077721,0.263999999999996,"emm",400,38.38912
38.7767721031643,1.10960658119656,0.367000000000004,"iid",400,38.38912
41.8992442199813,1.64111206071731,0.260000000000005,"emm",400,38.38912
